Arival Time     Service Time    Customer Type
00:00           13              Customer 3
00:05           11              Customer 3
00:13           04              Customer 3
00:20           02              Customer 1
00:26           15              Customer 1
00:34           06              Customer 3
00:44           10              Customer 3
00:49           14              Customer 1
00:57           11              Customer 2
01:04           06              Customer 2
01:11           15              Customer 1
01:21           13              Customer 2
01:28           08              Customer 2
01:34           13              Customer 1
01:41           14              Customer 3
01:47           11              Customer 2
01:53           05              Customer 3
02:01           05              Customer 3
02:11           05              Customer 3
02:21           14              Customer 1
02:30           15              Customer 3
02:40           10              Customer 3
02:48           01              Customer 3
02:55           14              Customer 3
03:01           11              Customer 2
03:09           05              Customer 2
03:18           03              Customer 2
03:24           05              Customer 2
03:34           15              Customer 3
03:43           04              Customer 1
03:50           04              Customer 1
03:57           04              Customer 2
04:03           07              Customer 2
04:09           08              Customer 3
04:16           15              Customer 1
04:22           12              Customer 1
04:31           10              Customer 1
04:38           08              Customer 3
04:48           14              Customer 2
04:55           11              Customer 2
05:01           03              Customer 1
05:09           05              Customer 2
05:16           10              Customer 3
05:22           10              Customer 3
05:30           05              Customer 3
05:40           09              Customer 3
05:49           08              Customer 2
05:56           02              Customer 2
06:02           05              Customer 1
06:11           01              Customer 1
06:16           03              Customer 1
06:21           10              Customer 3
06:26           03              Customer 3
06:36           13              Customer 3
06:45           07              Customer 2
06:51           12              Customer 2
07:00           11              Customer 3
07:10           02              Customer 1
07:19           15              Customer 3
07:29           10              Customer 1
07:36           14              Customer 2
07:44           11              Customer 2
07:49           10              Customer 2
07:54           01              Customer 1
08:03           15              Customer 3
08:10           06              Customer 2
08:19           13              Customer 3
08:29           05              Customer 3
08:35           14              Customer 3
08:40           10              Customer 3
08:46           02              Customer 1
08:56           05              Customer 3
09:05           09              Customer 3
09:13           09              Customer 1
09:18           12              Customer 2
09:28           03              Customer 3
09:37           15              Customer 2
09:43           03              Customer 1
09:52           07              Customer 2
09:59           03              Customer 2
10:07           10              Customer 2
10:15           09              Customer 1
10:24           09              Customer 3
10:33           08              Customer 1
10:40           02              Customer 2
10:45           01              Customer 3
10:52           01              Customer 3
11:00           15              Customer 2
11:07           07              Customer 3
11:13           03              Customer 2
11:22           13              Customer 1
11:29           02              Customer 1
11:36           01              Customer 1
11:42           09              Customer 2
11:51           14              Customer 2
12:00           15              Customer 3
12:10           02              Customer 2
12:17           02              Customer 1
12:24           08              Customer 2
12:29           15              Customer 3
12:36           04              Customer 2
12:42           13              Customer 3
12:51           08              Customer 2
12:58           12              Customer 2
13:05           14              Customer 2
13:12           15              Customer 3
13:20           05              Customer 2
13:29           03              Customer 2
13:38           06              Customer 3
13:43           07              Customer 2
13:53           13              Customer 3
14:00           13              Customer 3
14:06           04              Customer 2
14:14           14              Customer 3
14:20           11              Customer 1
14:25           11              Customer 1
14:30           07              Customer 3
14:38           10              Customer 3
14:47           02              Customer 3
14:52           05              Customer 2
14:58           02              Customer 2
15:03           02              Customer 3
15:10           05              Customer 2
15:18           15              Customer 3
15:24           14              Customer 2
15:32           13              Customer 3
15:41           02              Customer 3
15:48           11              Customer 2
15:58           03              Customer 1
16:07           14              Customer 3
16:16           14              Customer 1
16:25           07              Customer 1
16:35           03              Customer 1
16:44           15              Customer 1
16:49           08              Customer 3
16:54           03              Customer 1
17:00           03              Customer 3
17:09           01              Customer 1
17:16           06              Customer 1
17:22           14              Customer 3
17:30           09              Customer 2
17:40           06              Customer 3
17:48           14              Customer 3
17:54           11              Customer 3
18:04           07              Customer 1
18:12           07              Customer 2
18:20           04              Customer 1
18:29           10              Customer 3
18:35           11              Customer 3
18:40           12              Customer 2
18:46           12              Customer 2
18:55           03              Customer 1
19:03           05              Customer 3
19:11           01              Customer 3
19:20           11              Customer 2
19:26           12              Customer 1
19:32           10              Customer 3
19:37           09              Customer 3
19:44           04              Customer 1
19:51           06              Customer 3
20:00           02              Customer 1
20:06           11              Customer 1
20:12           11              Customer 3
20:17           04              Customer 1
20:22           10              Customer 1
20:29           04              Customer 3
20:38           14              Customer 3
20:45           03              Customer 3
20:53           03              Customer 2
21:03           12              Customer 1
21:12           06              Customer 3
21:17           04              Customer 1
21:24           07              Customer 2
21:34           04              Customer 2
21:44           14              Customer 1
21:49           04              Customer 3
21:54           11              Customer 1
22:00           14              Customer 3
22:09           15              Customer 3
22:15           12              Customer 3
22:25           04              Customer 3
22:32           04              Customer 3
22:38           08              Customer 2
22:47           10              Customer 1
22:54           04              Customer 2
23:04           14              Customer 3
23:12           13              Customer 3
23:19           04              Customer 3
23:28           01              Customer 3
23:37           13              Customer 2
23:43           03              Customer 3
23:50           05              Customer 2
